<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
US1.ATVI,0,20200505,093810,67.040000000,100
US1.ATVI,0,20200505,093815,67.050000000,200
US1.ATVI,0,20200505,093823,67.070000000,100
US1.ATVI,0,20200505,093823,67.075000000,100
US1.ATVI,0,20200505,093824,67.080000000,100
US1.ATVI,0,20200505,093828,67.110000000,100
US1.ATVI,0,20200505,093843,67.150000000,100
US1.ATVI,0,20200505,093845,67.160000000,100
US1.ATVI,0,20200505,093845,67.160000000,100
US1.ATVI,0,20200505,093848,67.160000000,100
US1.ATVI,0,20200505,093857,67.180000000,100
US1.ATVI,0,20200505,093857,67.180000000,100
US1.ATVI,0,20200505,093859,67.150000000,100
US1.ATVI,0,20200505,093859,67.150000000,123
US1.ATVI,0,20200505,093902,67.120000000,200
US1.ATVI,0,20200505,093903,67.150000000,100
US1.ATVI,0,20200505,093903,67.150000000,100
US1.ATVI,0,20200505,093905,67.170000000,100
US1.ATVI,0,20200505,093914,67.120000000,200
US1.ATVI,0,20200505,093919,67.130000000,200
US1.ATVI,0,20200505,093919,67.130000000,100
US1.ATVI,0,20200505,093928,67.120000000,200
US1.ATVI,0,20200505,093931,67.120000000,200
US1.ATVI,0,20200505,093939,67.110000000,100
US1.ATVI,0,20200505,093945,67.120000000,100
US1.ATVI,0,20200505,093953,67.110000000,100
US1.ATVI,0,20200505,093953,67.110000000,100
US1.ATVI,0,20200505,094001,67.060000000,100
US1.ATVI,0,20200505,094002,67.050000000,800
US1.ATVI,0,20200505,094002,67.050000000,100
US1.ATVI,0,20200505,094002,67.040000000,200
US1.ATVI,0,20200505,094013,67.050000000,100
US1.ATVI,0,20200505,094013,67.060000000,100
US1.ATVI,0,20200505,094013,67.050000000,100
US1.ATVI,0,20200505,094013,67.050000000,300
US1.ATVI,0,20200505,094014,67.040000000,200
US1.ATVI,0,20200505,094021,67.070000000,100
US1.ATVI,0,20200505,094021,67.070000000,100
US1.ATVI,0,20200505,094027,67.150000000,100
US1.ATVI,0,20200505,094034,67.210000000,200
US1.ATVI,0,20200505,094034,67.220000000,200
US1.ATVI,0,20200505,094034,67.220000000,100
US1.ATVI,0,20200505,094034,67.230000000,100
US1.ATVI,0,20200505,094034,67.280000000,100
US1.ATVI,0,20200505,094034,67.280000000,200
US1.ATVI,0,20200505,094034,67.280000000,100
US1.ATVI,0,20200505,094037,67.300000000,100
US1.ATVI,0,20200505,094038,67.290000000,200
US1.ATVI,0,20200505,094038,67.290000000,100
US1.ATVI,0,20200505,094038,67.300000000,100
US1.ATVI,0,20200505,094047,67.330000000,100
US1.ATVI,0,20200505,094047,67.330000000,100
US1.ATVI,0,20200505,094047,67.340000000,100
US1.ATVI,0,20200505,094054,67.350000000,199
US1.ATVI,0,20200505,094055,67.340000000,100
US1.ATVI,0,20200505,094056,67.350000000,100
US1.ATVI,0,20200505,094058,67.350000000,100
US1.ATVI,0,20200505,094059,67.330000000,300
US1.ATVI,0,20200505,094059,67.330000000,100
US1.ATVI,0,20200505,094059,67.280000000,100
US1.ATVI,0,20200505,094059,67.280000000,100
US1.ATVI,0,20200505,094059,67.290000000,100
